indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
labor_force_participation,idn.13.1377,2021,1.0,0.7328571977107108
labor_force_participation,idn.13.1301,2022,1.0,0.5400104870963263
labor_force_participation,idn.13.1302,2022,1.0,0.20001048709632857
labor_force_participation,idn.13.1303,2022,1.0,1.1035023437738523
labor_force_participation,idn.13.1304,2022,1.0,0.5037238421451865
labor_force_participation,idn.13.1305,2022,1.0,0.475971399148445
labor_force_participation,idn.13.1306,2022,1.0,0.35418638286179976
labor_force_participation,idn.13.1307,2022,1.0,0.12398442846440552
labor_force_participation,idn.13.1308,2022,1.0,0.20115706690088814
labor_force_participation,idn.13.1309,2022,1.0,0.5342775880735258
labor_force_participation,idn.13.1310,2022,1.0,0.6456130929595194
labor_force_participation,idn.13.1311,2022,1.0,0.7378997379106604
labor_force_participation,idn.13.1312,2022,1.0,0.18489648058166894
labor_force_participation,idn.13.1371,2022,1.0,0.7651831255328091
labor_force_participation,idn.13.1372,2022,1.0,1.038824819343883
labor_force_participation,idn.13.1373,2022,1.0,0.3518150473569148
labor_force_participation,idn.13.1374,2022,1.0,0.04578247406701123
labor_force_participation,idn.13.1375,2022,1.0,0.41023850012564145
labor_force_participation,idn.13.1376,2022,1.0,0.32543068253606594
labor_force_participation,idn.13.1377,2022,1.0,0.8091700962168484
labor_force_participation,idn.13.1301,2023,1.0,0.5346114154222672
labor_force_participation,idn.13.1302,2023,1.0,0.2914671912254135
labor_force_participation,idn.13.1303,2023,1.0,1.0479675329889122
labor_force_participation,idn.13.1304,2023,1.0,0.5671062889697721
labor_force_participation,idn.13.1305,2023,1.0,0.5305922766662874
labor_force_participation,idn.13.1306,2023,1.0,0.4767850312800939
labor_force_participation,idn.13.1307,2023,1.0,0.1900454550668338
labor_force_participation,idn.13.1308,2023,1.0,0.24263602239424395
labor_force_participation,idn.13.1309,2023,1.0,0.5465594673703197
labor_force_participation,idn.13.1310,2023,1.0,0.650072796146806
labor_force_participation,idn.13.1311,2023,1.0,0.704372180972508
labor_force_participation,idn.13.1312,2023,1.0,0.17768728691919175
labor_force_participation,idn.13.1371,2023,1.0,0.71005912560682
labor_force_participation,idn.13.1372,2023,1.0,1.0304692418064085
labor_force_participation,idn.13.1373,2023,1.0,0.41150820284537215
labor_force_participation,idn.13.1374,2023,1.0,0.058070062038809135
labor_force_participation,idn.13.1375,2023,1.0,0.31809740311878015
labor_force_participation,idn.13.1376,2023,1.0,0.28732501760955326
labor_force_participation,idn.13.1377,2023,1.0,0.7371404653197388
